               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.027432,            0.057117,           0.0059687,             0.88461,             0.84733,             0.88891,             0.69376,            0.026036,            0.070179,            0.011811,            0.005347,            0.005347,            0.005347
                 143,            0.027587,            0.057028,           0.0059314,              0.8825,             0.84965,              0.8888,              0.6941,            0.026045,            0.070512,            0.011837,            0.005314,            0.005314,            0.005314
                 144,            0.027561,            0.056965,           0.0060336,             0.88648,             0.84771,             0.88945,             0.69344,            0.026055,            0.070645,            0.011799,            0.005281,            0.005281,            0.005281
                 145,            0.027242,            0.057853,            0.005854,             0.88389,             0.84984,             0.88865,             0.69394,            0.026044,            0.070639,            0.011792,            0.005248,            0.005248,            0.005248
                 146,            0.027488,            0.057531,            0.005968,             0.88574,             0.84889,             0.88927,             0.69406,            0.026032,             0.07062,            0.011714,            0.005215,            0.005215,            0.005215
                 147,            0.027279,            0.057208,           0.0058808,             0.88689,             0.84975,             0.88944,             0.69506,            0.026043,            0.070622,            0.011737,            0.005182,            0.005182,            0.005182
                 148,            0.027555,             0.05763,           0.0059875,             0.88661,             0.84938,             0.88983,             0.69346,            0.026042,             0.07062,            0.011669,            0.005149,            0.005149,            0.005149
                 149,            0.027527,            0.057785,           0.0057363,             0.88648,             0.85003,             0.88978,             0.69522,            0.026029,            0.070711,            0.011662,            0.005116,            0.005116,            0.005116
                 150,            0.027195,            0.056749,           0.0058175,             0.88583,             0.85011,             0.88968,             0.69479,            0.026016,            0.070697,            0.011689,            0.005083,            0.005083,            0.005083
                 151,            0.027295,            0.057178,           0.0057982,              0.8858,             0.84919,             0.88932,             0.69511,            0.026009,            0.070837,            0.011704,             0.00505,             0.00505,             0.00505
                 152,            0.027271,            0.057505,            0.005863,             0.88409,             0.84766,             0.88905,             0.69631,             0.02602,            0.070938,            0.011715,            0.005017,            0.005017,            0.005017
                 153,            0.027255,            0.056425,           0.0058413,             0.88772,             0.84451,             0.88854,             0.69542,            0.026036,            0.071181,            0.011752,            0.004984,            0.004984,            0.004984
                 154,            0.027175,            0.056756,            0.005788,             0.88924,             0.84758,              0.8887,             0.69594,            0.026028,            0.071133,            0.011779,            0.004951,            0.004951,            0.004951
                 155,            0.027015,             0.05688,           0.0057092,             0.88865,             0.84866,             0.88895,             0.69549,            0.026027,             0.07108,            0.011802,            0.004918,            0.004918,            0.004918
                 156,            0.027115,            0.056127,           0.0057405,             0.89062,             0.84724,             0.88868,             0.69522,            0.026019,            0.071135,            0.011806,            0.004885,            0.004885,            0.004885
                 157,            0.026914,            0.056077,           0.0057429,             0.88692,             0.84756,             0.88878,             0.69473,            0.026013,            0.071125,            0.011779,            0.004852,            0.004852,            0.004852
                 158,            0.027059,            0.056502,           0.0057196,             0.88719,             0.84815,             0.88807,             0.69321,            0.026017,            0.071184,            0.011809,            0.004819,            0.004819,            0.004819
                 159,            0.026938,            0.055824,           0.0056891,             0.88915,             0.84847,             0.88833,             0.69375,            0.026015,            0.071256,             0.01188,            0.004786,            0.004786,            0.004786
                 160,            0.027152,             0.05698,           0.0056498,             0.89171,             0.84701,             0.88831,             0.69361,            0.025998,            0.071277,            0.011909,            0.004753,            0.004753,            0.004753
                 161,            0.027014,              0.0568,           0.0056735,             0.89037,             0.84732,             0.88837,             0.69402,            0.025968,            0.071281,             0.01195,             0.00472,             0.00472,             0.00472
                 162,            0.026936,            0.055556,            0.005606,             0.89012,             0.84741,             0.88865,             0.69364,            0.025947,            0.071233,            0.011981,            0.004687,            0.004687,            0.004687
